Climate scenario,With CO2 yield fertilization,Data source,Point estimate,95 percent CI,Region,Nutrient,Unit per capita,Year,Value
No Climate Change,no,Reference,yes,,North America,protein,g,2010,148.95
No Climate Change,no,Reference,yes,,North America,iron,mg,2010,24.52
No Climate Change,no,Reference,yes,,North America,zinc,mg,2010,22.54
No Climate Change,no,Reference,yes,,Global,protein,g,2010,95.09
No Climate Change,no,Reference,yes,,Global,iron,mg,2010,23.78
No Climate Change,no,Reference,yes,,Global,zinc,mg,2010,14.52
No Climate Change,no,Reference,yes,,South Asia,protein,g,2010,65.87
No Climate Change,no,Reference,yes,,South Asia,iron,mg,2010,17.31
No Climate Change,no,Reference,yes,,South Asia,zinc,mg,2010,9.73
No Climate Change,no,Reference,yes,,Afghanistan,protein,g,2010,67.90
No Climate Change,no,Reference,yes,,Afghanistan,iron,mg,2010,23.19
No Climate Change,no,Reference,yes,,Afghanistan,zinc,mg,2010,12.86
No Climate Change,no,Reference,yes,,Sub-Saharan Africa,protein,g,2010,66.40
No Climate Change,no,Reference,yes,,Sub-Saharan Africa,iron,mg,2010,25.71
No Climate Change,no,Reference,yes,,Sub-Saharan Africa,zinc,mg,2010,11.58
No Climate Change,no,Reference,yes,,Angola,protein,g,2010,68.66
No Climate Change,no,Reference,yes,,Angola,iron,mg,2010,20.60
No Climate Change,no,Reference,yes,,Angola,zinc,mg,2010,10.64
No Climate Change,no,Reference,yes,,Europe,protein,g,2010,127.99
No Climate Change,no,Reference,yes,,Europe,iron,mg,2010,22.73
No Climate Change,no,Reference,yes,,Europe,zinc,mg,2010,19.59
No Climate Change,no,Reference,yes,,Albania,protein,g,2010,124.47
No Climate Change,no,Reference,yes,,Albania,iron,mg,2010,25.12
No Climate Change,no,Reference,yes,,Albania,zinc,mg,2010,20.39
No Climate Change,no,Reference,yes,,Latin America & the Caribbean,protein,g,2010,98.18
No Climate Change,no,Reference,yes,,Latin America & the Caribbean,iron,mg,2010,20.86
No Climate Change,no,Reference,yes,,Latin America & the Caribbean,zinc,mg,2010,16.23
No Climate Change,no,Reference,yes,,Argentina,protein,g,2010,120.28
No Climate Change,no,Reference,yes,,Argentina,iron,mg,2010,24.61
No Climate Change,no,Reference,yes,,Argentina,zinc,mg,2010,21.77
No Climate Change,no,Reference,yes,,Former Soviet Union,protein,g,2010,116.71
No Climate Change,no,Reference,yes,,Former Soviet Union,iron,mg,2010,24.06
No Climate Change,no,Reference,yes,,Former Soviet Union,zinc,mg,2010,19.17
No Climate Change,no,Reference,yes,,Armenia,protein,g,2010,107.28
No Climate Change,no,Reference,yes,,Armenia,iron,mg,2010,25.15
No Climate Change,no,Reference,yes,,Armenia,zinc,mg,2010,18.65
No Climate Change,no,Reference,yes,,East Asia & Pacific,protein,g,2010,104.81
No Climate Change,no,Reference,yes,,East Asia & Pacific,iron,mg,2010,27.08
No Climate Change,no,Reference,yes,,East Asia & Pacific,zinc,mg,2010,15.65
No Climate Change,no,Reference,yes,,Australia,protein,g,2010,126.54
No Climate Change,no,Reference,yes,,Australia,iron,mg,2010,20.18
No Climate Change,no,Reference,yes,,Australia,zinc,mg,2010,19.54
No Climate Change,no,Reference,yes,,Austria,protein,g,2010,129.35
No Climate Change,no,Reference,yes,,Austria,iron,mg,2010,22.23
No Climate Change,no,Reference,yes,,Austria,zinc,mg,2010,19.82
No Climate Change,no,Reference,yes,,Azerbaijan,protein,g,2010,130.34
No Climate Change,no,Reference,yes,,Azerbaijan,iron,mg,2010,32.21
No Climate Change,no,Reference,yes,,Azerbaijan,zinc,mg,2010,24.01
No Climate Change,no,Reference,yes,,Burundi,protein,g,2010,47.11
No Climate Change,no,Reference,yes,,Burundi,iron,mg,2010,17.75
No Climate Change,no,Reference,yes,,Burundi,zinc,mg,2010,8.61
No Climate Change,no,Reference,yes,,Benin,protein,g,2010,68.08
No Climate Change,no,Reference,yes,,Benin,iron,mg,2010,21.92
No Climate Change,no,Reference,yes,,Benin,zinc,mg,2010,11.73
